Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
69,7/17/2020 2:15,exosc,stream1billionvi,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,44.6742,14.9858,41.9744,0,16.9835,270,25.0738,270,39.4345,15,8,0.4,0.2,10,5,0.8
70,7/17/2020 2:20,exoSC,stream1BillionVi,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,35.9949,14.9858,9.11822,0,5.37907,270,13.5141,270,30.5993,15,8,0.4,0.2,10,5,0.8
71,7/17/2020 3:17,doh,kyungsoo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,35.3126,14.9858,26.2859,0,6.38565,270,14.4994,270,29.6253,15,8,0.4,0.2,10,5,0.8
72,7/17/2020 3:18,doh,kyungsoo,BumpyTrack,0,0,Normal,Roadster,4x4,Classic,1,60.2242,21.1288,29.1545,360,13.2061,1440,41.9813,720,56.3567,21,11,0.8,0.7,10,7,0.7
73,7/17/2020 3:20,doh,kyungsoo,WindingTrack,0,0,Sandy,Muscle,Classic,Classic,1,84.8892,14.9985,7.93542,1440,22.2795,1440,46.448,1080,65.6783,15,8,0.4,0.5,20,5,0.6
74,7/17/2020 3:21,doh,kyungsoo,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,67.0233,17.1973,49.3247,990,17.4982,1080,29.9136,990,53.2743,15,8,0.4,0.2,5,10,0.8
75,7/17/2020 3:23,doh,kyungsoo,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,65.7492,17.2545,51.8571,990,18.1234,1080,31.4032,990,55.3054,15,8,0.4,0.2,5,10,0.8
76,7/17/2020 3:24,doh,kyungsoo,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,66.3386,16.5697,42.7114,990,17.8505,1080,30.5271,990,55.4199,15,8,0.4,0.2,5,10,0.8
77,7/17/2020 3:25,doh,kyungsoo,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,10.6415,19.9803,8.54569,0,8.63693,0,6.04125,0,1.57815,20,19.9,19.9,0,9,7,0.9
78,7/17/2020 3:26,doh,kyungsoo,CountryTrack,1,0,Normal,Classic,Classic,Classic,1,22.2274,21.9943,0.133753,0,2.59994,270,8.2017,270,18.4138,22,21.17,21.17,0.53,8,8,0.88
79,7/17/2020 3:28,doh,kyungsoo,WindingTrack,1,0,Sandy,Classic,Classic,Classic,1,74.343,15.9851,58.3652,1440,17.8666,1440,39.5774,1080,57.6674,16,7.24,7.24,0.29,11,9,0.87
